,Date,Price,Quantity,Width,Height,Quality,Difference,Colors,Shape
37,1997-08-11,3990,45,6.311386259972629,7.948113035416484,47.440361715855666,-0.13229944394246262,red,
38,1997-08-12,8938,22,5.026370931051921,5.769038846263591,55.528259214839935,-0.07361111579190632,red,circle
39,1997-08-13,5493,41,4.925176938188639,1.952429877980445,46.816070805060356,-0.28222118898721094,green,square
40,1997-08-14,8892,80,7.224521152615053,2.807723624408558,58.61514651207129,0.29547752442318337,red,
41,1997-08-15,8533,68,0.2431596643145384,6.454722959071678,,-1.0973458685666584,red,triangle
42,1997-08-16,7613,95,,9.404585843529143,48.579880547500366,0.3409221985589535,blue,square
43,1997-08-17,2712,37,9.539285770025874,9.148643902204485,55.017421355829946,-0.08641350683161347,red,circle
44,1997-08-18,7141,75,3.7015870025544437,0.15456616528867428,,0.27563515788740767,blue,square
45,1997-08-19,9655,51,9.283185625877254,4.281841483173143,42.062477376718654,0.27872303497066114,blue,triangle
46,1997-08-20,6335,54,9.666548190436696,9.636199770892528,58.05105813359133,-2.452264601315733,,triangle
47,1997-08-21,5586,71,8.530094554673601,,50.105047448957144,-0.901293818664668,green,square
48,1997-08-22,7199,66,3.8509772860192526,8.511366715168569,56.52914932215484,-0.10862866408885558,green,triangle
49,1997-08-23,9770,15,3.1692200515627764,1.6949274668609249,46.400992020612236,-0.05548495829767373,green,circle
50,1997-08-24,875,37,5.568012624583502,9.36154774160781,57.91046456992401,0.25938930899969403,blue,circle
51,1997-08-25,8326,37,6.96029796674973,5.700611700893649,47.784033574683264,0.3023482903316427,green,square
52,1997-08-26,3252,53,0.9717649377076854,6.150072266991698,40.21675302960597,1.5162333229338962,green,square
53,1997-08-27,1685,93,9.900538501042632,1.4008401523652403,58.10763952838528,,red,square
54,1997-08-28,4043,39,5.183296523637368,8.773730719279554,41.82573353572267,-0.31302370821644054,green,triangle
55,1997-08-29,7655,71,7.407686177542044,6.97015740995268,46.3862727518083,-1.5991234725374825,green,circle
56,1997-08-30,3173,84,7.024840839871093,3.5949115121975517,59.0012393410161,-1.3685901155418572,blue,circle
57,1997-08-31,1121,98,2.9359184426449336,8.093611554785136,59.012142938751126,0.5354918099752046,blue,triangle
58,1997-09-01,3943,71,8.101133946791808,8.670723185801037,51.46875776246572,1.060446814110468,blue,circle
59,1997-09-02,8089,10,9.132405525564714,5.113423988609378,52.63674424339598,1.5413709969181826,blue,square
60,1997-09-03,9792,36,5.015162946871996,7.9829517896677515,48.96891043956639,-0.8278930789157132,blue,square
61,1997-09-04,6973,71,6.4996393077776515,7.019668772577034,45.86421543396129,-0.30386443543092717,blue,square
62,1997-09-05,5775,86,7.95792669436101,8.900053418175663,46.57329090739832,0.24233368608311256,green,circle
63,1997-09-06,261,12,3.379951568515358,3.75582952639944,53.45036912154077,2.047398921130238,blue,square
64,1997-09-07,4397,79,0.93981939840869,5.78280140996174,55.047490588753604,0.11486146821389558,blue,triangle
65,1997-09-08,1095,81,0.35942273796742086,4.655980181324601,55.83158087451697,1.551262854732971,red,triangle
66,1997-09-09,7729,36,5.426446347075766,2.865412521282844,55.79236285589108,0.1699729029073083,green,circle
67,1997-09-10,9567,18,5.9083326056901075,,41.82412206097381,1.1532451864284559,green,triangle
68,1997-09-11,1116,71,0.37348188749214417,8.226005606596583,49.88840609405163,1.0265798465520781,green,triangle
69,1997-09-12,7969,46,3.601906414112629,1.2706051265188478,41.15117520033289,0.1660881325081512,blue,circle
70,1997-09-13,6539,60,5.222432600548044,7.699935530986108,50.99057764647471,-1.0203832472621548,blue,square
71,1997-09-14,7992,53,2.1582102749684315,6.228904758190002,48.83061002746754,-0.2690944379289504,blue,square
72,1997-09-15,6963,33,0.85347464993768,0.516817211686077,,1.489045173884479,red,square
73,1997-09-16,8016,88,5.31354631568148,5.406351216101065,47.01830025104157,0.8778251684801136,blue,
74,1997-09-17,8629,68,6.374299014982066,7.260913337226615,42.341340328552114,-0.43365032677184717,red,triangle
75,1997-09-18,978,41,9.758520794625346,5.163003483011953,42.85983364105672,,green,square
76,1997-09-19,9368,97,3.2295647294124596,7.9518619476870365,55.23021263434944,-1.7308731037655674,blue,square
77,1997-09-20,4987,61,2.708322512620742,4.389714207056361,52.36436126632522,1.444338791981811,red,circle
78,1997-09-21,4959,71,0.7845638134226596,0.2535074341545751,42.022453522455805,0.8860635602461532,red,square
79,1997-09-22,6431,67,9.626484146779251,8.359801205122059,41.68213612229995,-0.13707782104185295,blue,circle
80,1997-09-23,8671,61,6.95974206093698,4.089529444142698,54.0193826291824,0.20013441917342262,green,triangle
81,1997-09-24,8784,21,1.7329432007084578,1.5643704267108605,41.45526012728387,-2.17086582813041,green,circle
82,,7308,48,2.502428981645953,5.4922666470612045,56.437201185807126,-0.4867144960427494,green,circle
83,1997-09-26,5376,11,7.145959227000623,6.601973767177313,54.124844543129925,,red,circle
84,1997-09-27,2162,12,2.7993389694594284,9.54865280663194,41.626975612837995,0.9815473767300812,red,circle
85,1997-09-28,164,65,,5.543540525114007,41.69675428170384,0.330700557063932,red,triangle
86,1997-09-29,8106,90,6.117207462343522,4.196000624277899,59.73279157002351,-0.014718258634936664,red,triangle
87,1997-09-30,2668,68,2.4773098950115746,3.559726786512616,47.4854159151224,0.7964054296963266,green,square
88,1997-10-01,5563,11,7.578461104643691,0.14393488629755868,47.412842941337814,,blue,triangle
89,1997-10-02,2127,11,1.1607264050691624,0.4600264202175275,56.25599134515005,-1.6646931961950078,red,triangle
90,1997-10-03,2795,63,0.40728802318970136,8.554605840110073,58.94497154767717,-0.006199139673872496,red,square
91,1997-10-04,9787,96,7.036578593800237,4.741738290873252,59.720021276457416,0.40311932708557713,green,triangle
92,1997-10-05,5358,10,0.9783416065100148,4.916158751168323,,1.122677684798021,blue,circle
93,1997-10-06,5718,28,4.734717707805657,1.7320186991001518,,-1.4411957604959986,blue,circle
94,1997-10-07,6836,11,4.33851649237973,3.9850473439737346,41.67001433397338,-0.12291130655145516,green,square
95,1997-10-08,491,62,6.158500980522165,6.350936508676438,55.542938318548735,-0.07530365475512335,green,square
96,1997-10-09,5992,53,0.4530400977204452,3.746126146264712,51.1680849947161,-1.1012519048471119,blue,square
97,1997-10-10,3661,99,6.258599157142363,5.031362585800877,48.48444018493953,0.48767327492329376,red,circle
98,1997-10-11,6284,41,8.564898411883222,6.58693631618945,58.12708770189472,0.7473680316118015,blue,triangle
99,1997-10-12,3199,79,1.629344270814297,,42.223949646123025,,green,circle
